algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
ekf,estimation,16384,1,fp32,79,10.108741283416748,4.6392999999999995,0.016565325230734222,18.324487562189052,4.726749612745167,13.685187562189054,185.2375039173572,138.3400204812019,1.7511394997620493,44.62686567164179,45,892,127958.75042299682,201,40,44.0,5.002543687820435,False
ukf,estimation,256,1,fp32,87,10.147770881652832,4.670525,0.013647321165708663,18.053668316831686,4.748592721589295,13.383143316831687,183.20448965256287,135.8090720555313,1.5610238167302446,45.0,45,793,116641.04461669922,202,40,45.0,5.003595590591431,False
ukf,estimation,1024,1,fp32,85,10.02133846282959,4.511,0.004999999999999893,18.076221105527644,4.869127879083804,13.565221105527645,181.1479298274362,135.9416720216119,1.5993137884895519,44.89949748743719,45,851,117898.09956270106,199,40,45.0,5.002958059310913,False
ukf,estimation,4096,1,fp32,87,10.088799715042114,4.659,0.0213775583264319,18.433104477611938,4.32342695564823,13.774104477611939,185.96789920107284,138.96418132869164,1.597289440559674,44.995024875621894,46,811,115963.2151154266,201,40,45.0,5.003326892852783,False
ukf,estimation,16384,1,fp32,90,10.0365731716156,4.53425,0.020655205155117776,18.200557788944725,4.603854615649512,13.666307788944724,182.67123001296198,137.16289810956394,1.524032201217377,44.48743718592965,45,818,111517.47968461778,199,40,45.0,5.0050506591796875,False
particle_1k,estimation,256,1,fp32,178,10.036665201187134,4.702850000000001,0.013331447783342875,27.339226130653273,7.012679605569646,22.63637613065327,274.3946595329137,227.19372859151076,1.2763692617500604,45.78894472361809,46,1231,56385.75955723109,199,40,44.0,5.001820087432861,False
particle_1k,estimation,1024,1,fp32,170,10.00688910484314,4.6959,0.029867875719575276,27.154175879396984,7.448273534008276,22.458275879396986,271.7288267585321,224.7374762110992,1.3219851541829364,46.35175879396985,47,1204,58864.05355790082,199,40,46.0,5.002506732940674,False
particle_1k,estimation,4096,1,fp32,166,10.03281307220459,4.754575,0.059741897986254004,27.153035175879396,7.284819131085685,22.398460175879396,272.4213262625939,224.7195640498167,1.3537323135531127,46.88442211055276,47,1192,60438.63296508789,199,40,46.0,5.002253770828247,False
particle_1k,estimation,16384,1,fp32,175,10.013704299926758,4.7406999999999995,0.011009541316512382,27.42442713567839,7.56852711210714,22.68372713567839,274.6201039315707,227.14813595690796,1.2979893483251883,46.87437185929648,47,1234,57221.1674281529,199,40,46.0,7.004411697387695,False
periodogram,spectral,256,2048,fp32,111924,10.000456809997559,4.747325,0.009597883881356137,60.00345226130652,20.609687918475796,55.25612726130652,600.0619327899462,552.5865141644246,0.004937158376795188,50.50753768844221,52,2128,89.35042359098637,199,40,46.0,5.00275731086731,False
